,Unnamed: 0,End_Year,W,L,Finish,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Start_Year,Pace
11,11,1958,36.0,36.0,2.5,26.7625,72.0,0.0,39.025,101.8625,0.383125,0.0,0.0,0.0,39.025,101.8625,0.383125,28.575,38.275,0.74675,0.0,0.0,71.675,19.6375,0.0,0.0,0.0,25.4625,106.6375,1957.0,119.94000000000001
12,12,1959,36.0,36.0,2.5,26.3625,72.0,0.0,40.4125,102.325,0.39475,0.0,0.0,0.0,40.4125,102.325,0.39475,27.4625,36.3125,0.755125,0.0,0.0,70.05,19.6125,0.0,0.0,0.0,25.9625,108.2625,1958.0,119.2
13,13,1960,37.5,37.5,2.5,26.4625,75.0,0.0,44.4875,108.675,0.409375,0.0,0.0,0.0,44.4875,108.675,0.409375,26.3375,35.85,0.734875,0.0,0.0,73.5,22.55,0.0,0.0,0.0,25.575,115.3375,1959.0,126.78
14,14,1961,39.5,39.5,2.5,26.375,79.0,0.0,45.375,109.3875,0.414875,0.0,0.0,0.0,45.375,109.3875,0.414875,27.4,37.3625,0.73375,0.0,0.0,73.2875,24.175,0.0,0.0,0.0,26.8375,118.125,1960.0,129.28
15,15,1962,40.0,40.0,2.7777777777777777,26.322222222222223,80.0,0.0,45.91111111111111,107.74444444444444,0.426,0.0,0.0,0.0,45.91111111111111,107.74444444444444,0.426,26.955555555555556,37.06666666666667,0.7276666666666667,0.0,0.0,71.41111111111111,23.933333333333337,0.0,0.0,0.0,25.866666666666667,118.75555555555556,1961.0,126.78
16,16,1963,40.0,40.0,2.7777777777777777,26.322222222222223,80.0,0.0,44.58888888888889,101.24444444444444,0.4407777777777777,0.0,0.0,0.0,44.58888888888889,101.24444444444444,0.4407777777777777,26.08888888888889,35.87777777777777,0.7263333333333333,0.0,0.0,66.72222222222223,22.688888888888886,0.0,0.0,0.0,25.966666666666665,115.26666666666668,1962.0,120.84
17,17,1964,40.0,40.0,2.7777777777777777,26.366666666666667,80.0,0.0,42.86666666666667,99.07777777777778,0.4331111111111111,0.0,0.0,0.0,42.86666666666667,99.07777777777778,0.4331111111111111,25.27777777777778,35.0,0.7223333333333334,0.0,0.0,65.86666666666666,21.41111111111111,0.0,0.0,0.0,26.77777777777778,111.02222222222224,1963.0,116.44000000000001
18,18,1965,40.0,40.0,2.7777777777777777,26.38888888888889,80.0,241.67777777777775,42.48888888888889,99.85555555555555,0.4258888888888889,0.0,0.0,0.0,42.48888888888889,99.85555555555555,0.4258888888888889,25.62222222222222,35.55555555555556,0.7201111111111111,0.0,0.0,67.26666666666667,20.966666666666665,0.0,0.0,0.0,25.944444444444443,110.61111111111111,1964.0,118.3
19,19,1966,40.0,40.0,2.7777777777777777,26.64444444444445,80.0,240.46666666666664,44.32222222222222,102.45555555555556,0.433,0.0,0.0,0.0,44.32222222222222,102.45555555555556,0.433,26.85555555555555,36.96666666666667,0.727,0.0,0.0,68.23333333333333,22.85555555555555,0.0,0.0,0.0,26.2,115.5,1965.0,121.55999999999999
20,20,1967,40.5,40.5,3.0,26.56,81.0,241.29,45.46,103.1,0.4413,0.0,0.0,0.0,45.46,103.1,0.4413,26.52,36.239999999999995,0.7328,0.0,0.0,67.34,22.44,0.0,0.0,0.0,26.22,117.45,1966.0,122.16666666666667
21,21,1968,41.0625,39.9375,3.4375,25.98125,81.0,241.3875,43.94375,99.2875,0.4426875,0.21875,0.8624999999999999,0.0594375,43.725,98.4125,0.4441875,26.6125,36.91875,0.7215625,0.0,0.0,62.86875,20.95,0.0,0.0,4.29375,26.00625,114.7,1967.0,115.45
